Customer_ID,Age,Salary,Department,Sales,Purchase_Date
CU0084,29,56868,HR,7903,16-05-2026
CU0126,53,69964,HR,26848,2026/05/12
CU0234,,34402,Finance,5928,26/12/2026
CU0124,25,70305,Sales,36231,13/08/2026
CU0044,thirty-three,81014,Marketing,17341,2026/12/06
CU0222,25,77503,Sales,18908,2026-09-19
CU0191,56,33783,Sales,33302,not-a-date
CU0132,48,32863,Marketing,26874,2026-12-22
CU0227,54,41791,Sales,4763,2026-08-24
CU0179,45,,IT,9566,2026/06/14
CU0100,4,33968,Marketing,,2026/02/07
CU0137,41,81863,HR,12017,31/02/2026
CU0240,44,57409,Sales,12035,2026/07/19
CU0029,36,37564,IT,39256,05-05-2026
CU0033,35,73708,IT,26178,2026/09/25
CU0104,43,-63635,Sales,10146,2026-09-15
CU0130,twenty-one,52395,Marketing,15583,2026-03-08
CU0072,54,62361,Finanace,8271,2026/01/20
CU0119,43,35775,Marketing,9937,2026/07/08
CU0062,57,54184,Marketing,39272,2026/06/17
CU0057,46,83892,Marketing,9916,2026/06/14
CU0021,24,59041,Sales,9416,02/11/2026
CU0173,52,80788,Sales,33907,28/12/2026
CU0142,,45802,IT,41135,2026-06-24
CU0172,44,39684,HR,5069,19/12/2026
CU0097,24,-71641,,"48,945",2026/11/10
CU0038,52,,Marketing,40787,07/05/2026
CU0162,40,78116,Finance,29130,05/06/2026
CU0203,50,43689,Finance,22869,2026-04-01
CU0147,58,77032,Marketing,13921,23-08-2026
CU0246,35,43754,Sales,48163,2026/12/12
CU0094,50,93398,Finance,25198,2026/02/26
CU0105,49,72161,IT,N/A,2026/07/16
CU0160,33,80263,Sales,30301,20/11/2026
CU0045,53,94742,Sales,42023,2026/08/11
CU0193,999,54540,Marketing,"32,395",2026/07/28
CU0108,twenty-one,73588,Finance,27530,2026/11/05
CU0176,51,50777,Marketing,25859,18-12-2026
CU0085,54,54904,Finance,44077,23/08/2026
CU0210,,31030,IT,37879,18/07/2026
CU0174,44,50562,HR,33124,18-06-2026
CU0158,53,88649,Finance,8168,09-04-2026
CU0074,57,58566,Marketing,8979,2026/06/16
CU0046,36,79268,HR,44789,2026/09/09
CU0067,39,35582,HR,10762,2026-07-18
CU0190,999,58956,,47583,2026/12/07
CU0184,38,67210,HR,14501,2026/11/20
CU0233,27,84481,HR,TBD,2026/06/10
CU0155,55,38504,Sales,8650,2026/05/03
CU0116,58,33590,IT,16397,2026-04-10
CU0048,49,57248,IT,16555,2026/07/27
CU0156,24,38213,Finance,45096,2026/08/03
CU0138,21,46772,HR,-12798,2026/12/18
CU0063,34,37907,HR,23679,2026-12-04
CU0185,28,61290,Finance,19256,2026/05/01
CU0107,27,85888,Sales,17091,2026-08-14
CU0030,,46457,IT,9048,21-07-2026
CU0143,49,94278,Finanace,-44401,06/03/2026
CU0092,36,74417,HR,44172,04/11/2026
CU0235,35,63816,HR,39169,2026/06/06
CU0091,56,86693,IT,42741,24-08-2026
CU0016,32,76723,Finance,29148,22-11-2026
CU0004,42,69565,Finance,5847,24/08/2026
CU0228,46,74104,Marketing,12121,2026-05-21
CU0149,58,74439,Marketing,5280,2026-02-05
CU0075,38,73423,Marketing,39051,02/08/2026
CU0166,43,80060,Marketing,TBD,02/07/2026
CU0089,30,34840,Marketing,25646,2026/05/19
CU0042,4,61010,HR,46178,2026-13-05
CU0200,29,49653,Marketing,15050,2026/09/25
CU0183,28,85775,Sales,33672,not-a-date
CU0197,34,65373,HR,6699,05-09-2026
CU0066,23,46546,Marketing,10476,2026/02/27
CU0207,55,72900,Finance,19864,2026/08/25
CU0040,40,56371,Finance,39333,2026/04/05
CU0086,25,58440,Tech,44533,2026/02/23
CU0140,35,67399,Marketing,15275,22/11/2026
CU0187,39,75238,IT,44858,2026-06-10
CU0080,28,86624,IT,21104,25-07-2026
CU0250,37,75528,Finance,32798,16/06/2026
