Customer_ID,Age,Salary,Department,Sales,Purchase_Date
C001,30,60875,IT,9747,24/03/2026
C002,27,58965,Marketing,8801,05/18/2026
C003,34,37457,IT,33419,10-05-2026
C004,25,50772,IT,41113,2026/04/18
C005,24,89188,Marketing,13113,2026-04-19
C006,58,39054,Marketing,43374,27/02/2026
C007,twenty-five,49488,IT,41481,04/99/2026
C008,39,62468,HR,40434,04-02-2026
C009,57,55216,Marketing,49695,2026/01/31
C010,27,73115,Marketing,46871,2026-02-16
C011,44,41385,Marketing,9114,18/02/2026
C012,24,65000,HR,37533,05/25/2026
C013,55,63022,Finance,35513,24-06-2026
C014,50,58696,Finance,21280,2026/05/30
C015,36,40364,Marketing,24677,2026-02-16
C016,52,92353,Finance,34414,15/05/2026
C017,59,39797,IT,38550,03/15/2026
C018,31,84619,Finance,abc,18-04-2026
C019,47,37569,IT,41574,2026/05/06
C020,41,57290,Finance,43952,2026-05-27
C021,58,87225,Sales,9506,08/05/2026
C022,38,66070,IT,8976,01/24/2026
C023,40,77410,Marketing,49645,29-06-2026
C024,39,81964,Sales,48820,2026/04/25
C025,,65257,Finance,16013,2026-03-30
C026,28,67354,IT,19300,06/06/2026
C027,29,83389,HR,31076,03/15/2026
C028,52,40280,HR,34437,11-04-2026
C029,56,53208,HR,33214,2026/04/13
C030,38,81294,Sales,28512,2026-05-21
C031,45,50122,HR,10438,24/06/2026
C032,30,,HR,5790,02/15/2026
C033,58,46950,Finance,23476,05-05-2026
C034,30,62456,Marketing,29199,2026/01/02
C035,57,55880,HR,38783,2026-06-06
C036,24,64926,Marketing,30714,08/06/2026
C037,46,60829,IT,36557,04/12/2026
C038,46,39079,HR,9413,12-06-2026
C039,49,45636,IT,,2026/02/23
C040,24,41709,IT,42144,2026-06-03
C041,55,41649,Finance,45221,08/02/2026
C042,25,92300,HR,45243,01/07/2026
C043,30,76576,Finance,27766,07-04-2026
C044,44,66073,IT,12559,2026/06/04
C045,50,66483,Sales,25437,2026-05-05
C046,30,41696,Unknown_Department,22351,22/01/2026
C047,31,68838,IT,18448,05/03/2026
C048,44,44607,Marketing,6772,16-05-2026
C049,40,77134,IT,22112,2026/05/16
C001,44,94523,HR,28310,2026-05-13
C051,55,70492,Marketing,26604,27/02/2026
C052,35,75188,HR,20688,06/12/2026
C053,35,48101,Marketing,37294,invalid-date
C054,22,36830,Finance,35948,2026/04/02
